"No.","Time","Source","Destination","Protocol","Length","Info"
"5690","0.278691","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9342; Unit: 255, Func:   3: Read Holding Registers"
"5693","0.014514","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9342; Unit: 255, Func:   3: Read Holding Registers"
"5926","1.086153","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9343; Unit: 255, Func:   3: Read Holding Registers"
"5930","0.011688","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9343; Unit: 255, Func:   3: Read Holding Registers"
"5980","0.288136","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9344; Unit: 255, Func:   3: Read Holding Registers"
"5983","0.009769","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9344; Unit: 255, Func:   3: Read Holding Registers"
"6051","0.290452","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9345; Unit: 255, Func:   3: Read Holding Registers"
"6058","0.044528","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9345; Unit: 255, Func:   3: Read Holding Registers"
"6114","0.255643","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9346; Unit: 255, Func:   3: Read Holding Registers"
"6116","0.014434","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9346; Unit: 255, Func:   3: Read Holding Registers"
"6336","1.086119","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9347; Unit: 255, Func:   3: Read Holding Registers"
"6340","0.015992","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9347; Unit: 255, Func:   3: Read Holding Registers"
"6405","0.283978","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9348; Unit: 255, Func:   3: Read Holding Registers"
"6409","0.020554","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9348; Unit: 255, Func:   3: Read Holding Registers"
"6471","0.279608","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9349; Unit: 255, Func:   3: Read Holding Registers"
"6483","0.038902","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9349; Unit: 255, Func:   3: Read Holding Registers"
"6550","0.261216","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9350; Unit: 255, Func:   3: Read Holding Registers"
"6551","0.006702","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:  9350; Unit: 255, Func:   3: Read Holding Registers"
"6791","1.094124","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:  9351; Unit: 255, Func:   3: Read Holding Registers"
