"No.","Time","Source","Destination","Protocol","Length","Info"
"9718","0.021958","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   415; Unit: 255, Func:   3: Read Holding Registers"
"9779","0.277956","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   416; Unit: 255, Func:   3: Read Holding Registers"
"9786","0.034037","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   416; Unit: 255, Func:   3: Read Holding Registers"
"10037","1.066470","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   417; Unit: 255, Func:   3: Read Holding Registers"
"10038","0.009639","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   417; Unit: 255, Func:   3: Read Holding Registers"
"10105","0.290511","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   418; Unit: 255, Func:   3: Read Holding Registers"
"10110","0.018338","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   418; Unit: 255, Func:   3: Read Holding Registers"
"10164","0.282227","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   419; Unit: 255, Func:   3: Read Holding Registers"
"10169","0.022104","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   419; Unit: 255, Func:   3: Read Holding Registers"
"10235","0.277535","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   420; Unit: 255, Func:   3: Read Holding Registers"
"10240","0.031340","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   420; Unit: 255, Func:   3: Read Holding Registers"
"10478","1.069661","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   421; Unit: 255, Func:   3: Read Holding Registers"
"10485","0.025242","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   421; Unit: 255, Func:   3: Read Holding Registers"
"10549","0.274646","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   422; Unit: 255, Func:   3: Read Holding Registers"
"10556","0.026510","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   422; Unit: 255, Func:   3: Read Holding Registers"
"10612","0.273376","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   423; Unit: 255, Func:   3: Read Holding Registers"
"10617","0.023665","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   423; Unit: 255, Func:   3: Read Holding Registers"
"10677","0.276854","192.168.0.211","192.168.0.212","Modbus/TCP","66","   Query: Trans:   424; Unit: 255, Func:   3: Read Holding Registers"
"10680","0.013168","192.168.0.212","192.168.0.211","Modbus/TCP","65","Response: Trans:   424; Unit: 255, Func:   3: Read Holding Registers"
